NGA,PolID,TStart,TEnd,HS,Description,,,,,,,,,,,
Latium,ItRomMR,-264,-134,P,Emergency HS (sacrifice of foreigners after dire military defeats); possible funerary HS (Early Munera,although not all scholars accept this),,,,,,,,,,
Latium,ItRomLR,-133,-29,P,Emergency HS (sacrifice of foreigners after dire military defeats) recorded for 114/3 BCE; Senate bans HS in 97 BCE. Lex Cornelia (81 BCE) also included a prohibition of the practice. However,the ritual of the rex nemorensis persisted until c. 200 CE (Jennifer Larson,pers. comm. to Seshat board,January 2021),and we consider this a form of HS.,,,,,,,
Latium,ItRomPr,-31,199,A~P,HS rare and in the process of disappearing. The Senate had banned HS in 97 BCE. Lex Cornelia (81 BCE) also included a prohibition of the practice. However,Roman definitions of HS do not precisely correspond to ours. The ritual combat of the rex nemorensis probably persisted until c. 200 CE (Jennifer Larson,pers. comm. to Seshat board,January 2021),and we consider this a form of HS.,,,,,,,
Latium,ItRomPr,200,283,A,HS prohibited by Roman law; rex nemorensis likely no longer practiced (Jennifer Larson,pers. comm. to Seshat board,January 2021).,,,,,,,,,
Latium,TrRomDm,284,394,A,Christianity. Rex nemorensis likely no longer practiced (Jennifer Larson,pers. comm. to Seshat board,January 2021).,,,,,,,,,
Latium,ItRomWe,395,457,A,Christianity,,,,,,,,,,,
Latium,ItOstrg,493,554,A,Christianity,,,,,,,,,,,
Latium,ItRav**,568,710,A,Christianity,,,,,,,,,,,
Latium,ItStPet,711,903,A,Christianity,,,,,,,,,,,
Latium,ItPapEM,904,1197,A,Christianity,,,,,,,,,,,
Latium,ItPapHM,1198,1308,A,Christianity,,,,,,,,,,,
Latium,ItPapRn,1378,1526,A,Christianity,,,,,,,,,,,
Latium,ItPapM1,1527,1647,A,Christianity,,,,,,,,,,,
Latium,ItPapM2,1648,1800,A,Christianity,,,,,,,,,,,
Upper Egypt,EgBadar,-4400,-3801,A*,No known evidence for HS,although may have taken place in Neolithic Nubia to the south (Reinold 1986).,,,,,,,,,,
Upper Egypt,EgNaqa1,-3800,-3551,A*,No evidence for HS,,,,,,,,,,,
Upper Egypt,EgNaqa2,-3550,-3301,P*,Probable retainer HS at Hierakonpolis,possible evidence for HS at Adaima and Naqada cemeteries,,,,,,,,,,
Upper Egypt,EgNaqa3,-3300,-3101,A;P,HS is attested,but whether it corresponds to this period is debated (John Baines,Oxford workshop January 2017),,,,,,,,,
Upper Egypt,EgDyn1*,-3100,-2901,P,Funerary HS. The royal burials at Abydos show evidence for the sacrifice of retainers,accompanying the ruler in death. Stelae indicate that at least some of the victims were nobles.,,,,,,,,,,
Upper Egypt,EgDyn2*,-2900,-2651,A;P,Possible evidence for HS in the mortuary complex of Khasekhemwy,where six tombs contain evidence for retainer burials (with a maximum of two sacrificed servants) (Muhlestein 2011). However,John Baines doubts the evidence. (Oxford workshop January 2017),,,,,,,,,
Upper Egypt,EgOldK1,-2650,-2351,A*,Execration rites do not yet involve ritual killing; the execution of prisoners does not qualify as HS,,,,,,,,,,,
Upper Egypt,EgOldK2,-2350,-2151,A*,Execration rites do not yet involve ritual killing; the execution of prisoners does not qualify as HS,,,,,,,,,,,
Upper Egypt,EgRegns,-2150,-2017,A;P,One possible case: a servant who might have been sacrificed alongside a royal daughter; interpretation not generally accepted,,,,,,,,,,,
Upper Egypt,EgMidKg,-2016,-1721,P*,HS,apparently state-sanctioned,in the context of an execration ritual at the fortress of Mirgissa (a mutilated corpse of a possible captured enemy,a Nubian),,,,,,,,
Upper Egypt,EgThebH,-1720,-1567,P*,Funerary HS: young females were buried with tomb owners and placed in pits outside of the main chambers at Tell-el-Daba. Precise chronology of the find uncertain,,,,,,,,,,,
Upper Egypt,EgNKThu,-1550,-1294,A*,None of the cases of ritual execution qualify as HS. The tekenu rite depicted in iconography may or may not represent HS,and the rite may not have been performed in this period,,,,,,,,,,
Upper Egypt,EgNKRam,-1293,-1071,A*,None of the cases of ritual execution qualify as HS. The tekenu rite depicted in iconography may or may not represent HS,and the rite may not have been performed in this period,,,,,,,,,,
Upper Egypt,EgThebL,-1070,-761,A;P,Prince Osorkon stated that he substituted traditional goats with captured rebels during the Feast of the Evening Sacrifice. However,the text refers to the victims as having committed crimes,suggesting that these rites – if they did take place – should be viewed as ritual execution of defeated enemies (John Baines,pers. comm. to Jenny Reddish,January 2021).,,,,,,,
Upper Egypt,SdKusht,-760,-665,U,Retainer sacrifice practiced under Kushite kings in Classic Kerma period,but seems to have disappeared at some point between the late New Kingdom and the Napata period (after 665 BCE) (John Baines,pers. comm. to Jenny Reddish,January 2021).,,,,,,,,
Upper Egypt,EgSaite,-664,-526,A*,None of the examples of ritual violence cited by Muhlestein qualify as HS for this period. Abundant mortuary remains but no good evidence of HS,,,,,,,,,,,
Upper Egypt,IrAchae,-525,-405,A*,Zoroastrianism,,,,,,,,,,,
Upper Egypt,EgIntOc,-404,-343,A*,No evidence for HS in this period (John Baines,pers. comm.,Oxford workshop 2017),,,,,,,,,
Upper Egypt,EgPtol1,-305,-218,A*,Hellenistic religion,,,,,,,,,,,
Upper Egypt,EgPtol2,-217,-32,A*,Hellenistic religion,,,,,,,,,,,
Upper Egypt,ItRomPr,-31,199,A~P,HS rare and in the process of disappearing. The Senate had banned HS in 97 BCE. Lex Cornelia (81 BCE) also included a prohibition of the practice. However,Roman definitions of HS do not precisely correspond to ours. The ritual combat of the rex nemorensis probably persisted until c. 200 CE (Jennifer Larson,pers. comm. to Seshat board,January 2021),and we consider this a form of HS.,,,,,,,
Upper Egypt,ItRomPr,200,283,A,HS prohibited by Roman law; rex nemorensis likely no longer practiced (Jennifer Larson,pers. comm. to Seshat board,January 2021).,,,,,,,,,
Upper Egypt,TrRomDm,284,394,A,Christianity,,,,,,,,,,,
Upper Egypt,TrERom*,395,632,A,Christianity,,,,,,,,,,,
Upper Egypt,SyCalUm,661,749,A,Islam,,,,,,,,,,,
Upper Egypt,IqAbbs1,750,867,A,Islam,,,,,,,,,,,
Upper Egypt,EgTulIk,868,908,A,Islam,,,,,,,,,,,
Upper Egypt,TnFatim,909,1170,A,Islam,,,,,,,,,,,
Upper Egypt,EgAyyub,1171,1259,A,Islam,,,,,,,,,,,
Upper Egypt,EgMamBh,1260,1347,A,Islam,,,,,,,,,,,
Upper Egypt,EgMamCP,1348,1411,A,Islam,,,,,,,,,,,
Upper Egypt,EgMamBu,1412,1516,A,Islam,,,,,,,,,,,
Upper Egypt,TrOttm3,1517,1682,A,Islam,,,,,,,,,,,
Upper Egypt,TrOttm4,1683,1839,A,Islam,,,,,,,,,,,
Niger Inland Delta,MlJeJe1,-250,49,U,No evidence for HS at Jenne-jeno,but relatively few human remains have been found at the site,,,,,,,,,,
Niger Inland Delta,MlJeJe2,50,399,U,No evidence for HS at Jenne-jeno,but relatively few human remains have been found at the site,,,,,,,,,,
Niger Inland Delta,MlJeJe3,400,899,U,No evidence for HS at Jenne-jeno,but relatively few human remains have been found at the site,,,,,,,,,,
Niger Inland Delta,MlJeJe4,900,999,U,No evidence for HS at Jenne-jeno,but relatively few human remains have been found at the site,,,,,,,,,,
Niger Inland Delta,MrWagdM,1000,1077,P,The sacrifice of female slaves at the funerals of wealthy men,and retainers in the case of rulers,is attested,,,,,,,,,
Niger Inland Delta,MrWagdL,1100,1202,U,Elites professed Islam,and we have found no direct evidence for HS in this polity. However,HS continued across West Africa during this period,even in Muslim polities (Law 1985; Rebecca Shumway,pers. comm. to Jenny Reddish,March 2021).,,,,,,
Niger Inland Delta,MlMali*,1235,1410,U,Elites professed Islam,and we have found no direct evidence for HS in this polity. However,HS continued across West Africa during this period,even in Muslim polities (Law 1985; Rebecca Shumway,pers. comm. to Jenny Reddish,March 2021).,,,,,,
Niger Inland Delta,MlSong2,1493,1590,U,Elites professed Islam,and we have found no direct evidence for HS in this polity. However,HS continued across West Africa during this period,even in Muslim polities (Law 1985; Rebecca Shumway,pers. comm. to Jenny Reddish,March 2021).,,,,,,
Niger Inland Delta,MaSaadi,1591,1618,U,Elites professed Islam,and we have found no direct evidence for HS in this polity. However,HS continued across West Africa during this period,even in Muslim polities (Law 1985; Rebecca Shumway,pers. comm. to Jenny Reddish,March 2021).,,,,,,
Niger Inland Delta,MlSegou,1640,1711,P*,HS of prisoners of war (assuming continuity with 20th century practices),,,,,,,,,,,
Niger Inland Delta,MlBaman,1712,1818,P*,HS of prisoners of war (assuming continuity with 20th century practices),,,,,,,,,,,
Ghanaian Coast,GhAshnE,1501,1701,P,The cult of the royal ancestors probably involved HS; in the past Slaves were sacrificed on the occasion of the funerals of important men,and there is one report of prisoners of war being sacrificed to a god,,,,,,,,,,
Ghanaian Coast,GhAshnL,1702,1895,P,The Asante practised HS on a grand scale at private and royal funerals,to ensure the success of military operations and on occasions of disaster (emergency HS). The Yam and Adae festivals also included HS,,,,,,,,,,
Crete,GrCrNeo,-7000,-3001,U,,,,,,,,,,,,
Crete,GrCrPre,-3000,-1901,U,,,,,,,,,,,,
Crete,GrCrOPa,-1900,-1701,A;P,Possible evidence for HS during the Middle and Late Minoan periods,but some scholars offer alternative explanations,,,,,,,,,,
Crete,GrCrNPa,-1700,-1451,A;P,Possible evidence for HS during the Middle and Late Minoan periods,but some scholars offer alternative explanations,,,,,,,,,,
Crete,GrCrMPa,-1450,-1301,A;P,Possible evidence for HS during the Middle and Late Minoan periods,but some scholars offer alternative explanations,,,,,,,,,,
Crete,GrCrPPa,-1300,-1201,P,HS was practiced in Mycenaean Crete (e.g. at the Palace of Kydonia),,,,,,,,,,,
Crete,GrCrFPa,-1200,-1001,P,HS was practiced in Mycenaean Crete (e.g. at the Palace of Kydonia),,,,,,,,,,,
Crete,GrCrGeo,-1000,-711,A;P,Eleutherna burial contains a possible HS victim,probably a prisoner-of -war (dating to 720-700 BCE),but this interpretation is disputed,,,,,,,,,
Crete,GrCrArc,-710,-501,A;P,Eleutherna burial contains a possible HS victim,probably a prisoner-of -war (dating to 720-700 BCE),but this interpretation is disputed,,,,,,,,,
Crete,GrCrCls,-500,-322,A,Classical Greek religion,,,,,,,,,,,
Crete,GrCrHel,-323,-69,A,Classical Greek religion,,,,,,,,,,,
Crete,ItRomPr,-31,283,A,HS was banned in Roman Empire,,,,,,,,,,,
Crete,TrRomDm,284,394,A,HS was banned in Roman Empire,,,,,,,,,,,
Crete,TrERom*,395,607,A,Christianity,,,,,,,,,,,
Crete,TrByzM1,632,823,A,Christianity,,,,,,,,,,,
Crete,GrCrEmr,824,960,A,Islam,,,,,,,,,,,
Crete,TrByzM2,961,1072,A,Christianity,,,,,,,,,,,
Crete,TrByzM3,1073,1203,A,Christianity,,,,,,,,,,,
Crete,GrCrVen,1204,1669,A,Christianity,,,,,,,,,,,
Galilee,IlCanaa,-2000,-1181,P,Egyptian relief sculptures,the Bible,and other sources suggest that,under the duress of military crisis,human sacrifice was offered to the divine patron of the besieged city,,,,,,,
Galilee,LbAcPho,-1180,-1031,P*,Evidence for sacrifice comes from a later polity Carthage),but we also can assume continuity with previous and following periods,,,,,,,,,,
Galilee,IlYisrl,-1030,-722,P*,Inscriptions,the Bible,and archaeological evidence: a general consensus that child sacrifice did take place in ancient Israel (Dewrell 2017),,,,,,,,,
Galilee,IqNAssr,-721,-539,P*,Although there is no archaeological evidence,textual sources suggest that some child sacrifice probably took place in this period and was sanctioned by ruling elites,at least in the Levant (Julye Bidmead,pers. comm. to Jenny Reddish,May 2021).,,,,,,,
Galilee,IrAchae,-538,-331,A,Zoroastrianism,,,,,,,,,,,
Galilee,EgPtol1,-300,-199,A,Hellenistic religion,,,,,,,,,,,
Galilee,IrSeleu,-200,-104,A,Hellenistic religion,,,,,,,,,,,
Galilee,IlJudea,-103,-62,A,Judaism. Jewish literature of the Hellenistic and Roman periods condemns HS,especially by ancient Canaanites,and gives the impression that it was no longer practiced in the Levant or in other parts of the Mediterranean,,,,,,,,,
Konya Plain,TrNeoER,-9600,-7101,U,No evidence for HS,,,,,,,,,,,
Konya Plain,TrNeoER,-7100,-7001,A*,Moses (2008,2012) has argued that the bodies of infants found in the foundations of houses at Çatalhöyük represent sacrificial victims. However,most archaeologists disagree with her interpretation (Scott Haddow,pers. comm. to Agathe Dupeyron,May 2017).,,,,,,,
Konya Plain,TrNeoCR,-7000,-6601,A*,Moses (2008,2012) has argued that the bodies of infants found in the foundations of houses at Çatalhöyük represent sacrificial victims. However,most archaeologists disagree with her interpretation (Scott Haddow,pers. comm. to Agathe Dupeyron,May 2017).,,,,,,,
Konya Plain,TrNeoLT,-6600,-6001,A*,Moses (2008,2012) has argued that the bodies of infants found in the foundations of houses at Çatalhöyük represent sacrificial victims. However,most archaeologists disagree with her interpretation (Scott Haddow,pers. comm. to Agathe Dupeyron,May 2017).,,,,,,,
Konya Plain,TrClcER,-6000,-5501,U,No evidence for HS,,,,,,,,,,,
Konya Plain,GapKP1,-5500,-5001,U,No evidence for HS,,,,,,,,,,,
Konya Plain,TrClcLT,-5000,-3001,U,No evidence for HS,,,,,,,,,,,
Konya Plain,TrBrzER,-3000,-2901,P*,Probable HS in the context of an elite burial (the Malatya Royal Tomb,c. 3000-2900 BCE),,,,,,,,,,
Konya Plain,TrBrzER,-2900,-2001,U,No evidence for HS. Malatya burial may be the only evidence for retainer HS in early Bronze Age Anatolia (Mark Altaweel,pers. comm. to Jenny Reddish,January 2021),,,,,,,,,
Konya Plain,TrBrzMD,-2000,-1701,U,"""Evidence is """"doubtful or unclear at best"""" (Mark Altaweel",pers. comm. to Jenny Reddish,"January 2021).""",,,,,,,,,
Konya Plain,TrHatOK,-1650,-1501,A;P,HS is mentioned in Hittite texts and some scholars (e.g. Collins) think it was a real practice,but Mark Altaweel points out that texts can be figurative. He knows of no archaeological remains that confirm HS (pers. comm. to Jenny Reddish,January 2021).,,,,,,,,,
Konya Plain,TrBrzL2,-1500,-1400,A;P,HS is mentioned in Hittite texts and some scholars (e.g. Collins) think it was a real practice,but Mark Altaweel points out that texts can be figurative. He knows of no archaeological remains that confirm HS (pers. comm. to Jenny Reddish,January 2021).,,,,,,,,,
Konya Plain,TrHatNK,-1344,-1181,A;P,HS is mentioned in Hittite texts and some scholars (e.g. Collins) think it was a real practice,but Mark Altaweel points out that texts can be figurative. He knows of no archaeological remains that confirm HS (pers. comm. to Jenny Reddish,January 2021).,,,,,,,,,
Konya Plain,TrNHitt,-1180,-901,A;P,HS is mentioned in Hittite texts and some scholars (e.g. Collins) think it was a real practice,but Mark Altaweel points out that texts can be figurative. He knows of no archaeological remains that confirm HS (pers. comm. to Jenny Reddish,January 2021).,,,,,,,,,
Konya Plain,TrPhryg,-900,-696,A*,The only mention of human sacrifice at Gordion corresponds to the 2nd-3rd centuries BCE,,,,,,,,,,,
Konya Plain,TrLydia,-670,-547,U,No known examples of HS,but burial record is sparse,,,,,,,,,,
Konya Plain,IrAchae,-546,-334,A*,Zoroastrianism,,,,,,,,,,,
Konya Plain,TrLysim,-300,-282,A*,Hellenistic religion,,,,,,,,,,,
Konya Plain,IrSeleu,-281,-190,A*,Hellenistic religion,,,,,,,,,,,
Konya Plain,TrCappL,-129,-95,A*,Hellenistic religion,,,,,,,,,,,
Konya Plain,ItRomPr,-31,283,A,Banned by Roman Law,,,,,,,,,,,
Konya Plain,TrRomDm,284,457,A,Christianity,,,,,,,,,,,
Konya Plain,TrERom*,458,607,A,Christianity,,,,,,,,,,,
Konya Plain,TrByzM1,632,866,A,Christianity,,,,,,,,,,,
Konya Plain,TrByzM2,867,1072,A,Christianity,,,,,,,,,,,
Konya Plain,TrRum**,1093,1243,A,Islam,,,,,,,,,,,
Konya Plain,IrIlkhn,1263,1326,P*,Although the Ilkhanate rulers patronized Islam,retainer HS was sometimes practiced as part of Mongol elite funerary customs. There is a report by the Persian historian Vassaf of probable funerary HS for the first khan of the Ilkhanate,Hülegü (Boyle 1974: 8; Burzine Waghmar,pers. comm. to Jenny Reddish,July 2021),,,,,,,
Konya Plain,TrOttm1,1393,1402,A,Islam,,,,,,,,,,,
Konya Plain,TrOttm2,1421,1516,A,Islam,,,,,,,,,,,
Konya Plain,TrOttm3,1517,1682,A,Islam,,,,,,,,,,,
Konya Plain,TrOttm4,1683,1838,A,Islam,,,,,,,,,,,
Konya Plain,TrOttm5,1839,1922,A,Islam,,,,,,,,,,,
Susiana,IrPrCer,-7800,-7201,U,Unknown,,,,,,,,,,,
Susiana,IrForma,-7200,-7001,U,Unknown,,,,,,,,,,,
Susiana,IrArcha,-7000,-6001,U,Unknown,,,,,,,,,,,
Susiana,IrKhzE*,-6000,-5701,U,Unknown,,,,,,,,,,,
Susiana,IrKhzEM,-5700,-5101,U,Unknown,,,,,,,,,,,
Susiana,IrKhzM*,-5100,-4701,U,Unknown,,,,,,,,,,,
Susiana,IrKhzL*,-4700,-4301,U,Unknown,,,,,,,,,,,
Susiana,IrSusa1,-4300,-3801,U,Unknown,,,,,,,,,,,
Susiana,IrSusa2,-3800,-3101,U,Unknown,,,,,,,,,,,
Susiana,IrSusa3,-3100,-2676,A*,There was a long tradition of making regular offerings to the gods in Elam,and the items offered usually included food. HS is not mentioned in texts,and there is no archaeological evidence for it from this period,,,,,,,,,
Susiana,IrAwanE,-2675,-2251,A*,There was a long tradition of making regular offerings to the gods in Elam,and the items offered usually included food. HS is not mentioned in texts,and there is no archaeological evidence for it from this period,,,,,,,,,
Susiana,IqAkkad,-2250,-2113,A;P,"""Probable HS victims associated with a """"closing ritual"""" at Tell Brak",Syria,"but this is not universally accepted. Likewise for possible construction HS at Akkadian-period ritual sites in Syria.""",,,,,,,,,
Susiana,IqUrIII,-2112,-2029,P,Mausoleum of King Shulgi and Amar-sin,,,,,,,,,,,
Susiana,IrShima,-2028,-1901,A*,No evidence for HS,,,,,,,,,,,
Susiana,IrSukkE,-1900,-1701,A*,No evidence for HS,,,,,,,,,,,
Susiana,IrSukkL,-1700,-1501,A*,No evidence for HS,,,,,,,,,,,
Susiana,IrMElm1,-1500,-1401,P*,Possible retainer sacrifice at tomb of Elamite king Tepti-Ahar,,,,,,,,,,,
Susiana,IrMElm2,-1400,-1201,A*,No evidence for HS,,,,,,,,,,,
Susiana,IrMElm3,-1200,-1101,A*,No evidence for HS,,,,,,,,,,,
Susiana,IrElmCP,-1100,-901,A*,No evidence for HS,,,,,,,,,,,
Susiana,IrNElm1,-900,-744,A*,No evidence for HS,,,,,,,,,,,
Susiana,IrNElm2,-743,-647,A*,No evidence for HS,,,,,,,,,,,
Susiana,IrNElm3,-612,-540,A*,No evidence for HS,,,,,,,,,,,
Susiana,IrAchae,-539,-334,A*,Zoroastrianism,,,,,,,,,,,
Susiana,IrSeleu,-312,-144,A*,Hellenistic religion,,,,,,,,,,,
Susiana,IrPart1,-143,24,A*,Zoroastrianism,,,,,,,,,,,
Susiana,IrElym2,25,215,A*,Mixture of Elamite,Mesopotamian and Hellenistic religious practices. HS not practiced in Hellenistic cultures,,,,,,,,,,
Susiana,IrSasn1,220,498,A*,Zoroastrianism,,,,,,,,,,,
Susiana,IrSasn2,499,642,A*,Zoroastrianism,,,,,,,,,,,
Susiana,SyCalUm,663,749,A,Islam,,,,,,,,,,,
Susiana,IqAbbs1,750,946,A,Islam,,,,,,,,,,,
Susiana,IrBuyid,947,1055,A,Islam,,,,,,,,,,,
Susiana,IrSeljq,1056,1190,A,Islam,,,,,,,,,,,
Susiana,IqAbbs2,1191,1207,A,Islam,,,,,,,,,,,
Susiana,IrIlkhn,1263,1335,A,Islam,,,,,,,,,,,
Susiana,UzTimur,1394,1470,A,Islam,,,,,,,,,,,
Susiana,IrAkKoy,1471,1504,A,Islam,,,,,,,,,,,
Susiana,IrSafvd,1505,1722,A,Islam,,,,,,,,,,,
Susiana,IrQajar,1794,1925,A,Islam,,,,,,,,,,,
Yemeni Coastal Plain,YeQasmi,1637,1805,A,Islam,,,,,,,,,,,
Yemeni Coastal Plain,TrOttm5,1873,1919,A,Islam,,,,,,,,,,,
Kachi Plain,PkCeraN,-5500,-4001,U,Confirmed unknown by Alessandro Ceccarelli,,,,,,,,,,,
Kachi Plain,PkChalc,-4000,-3201,U,Confirmed unknown by Alessandro Ceccarelli,,,,,,,,,,,
Kachi Plain,PkPreUr,-3200,-2501,U,Confirmed unknown by Alessandro Ceccarelli,,,,,,,,,,,
Kachi Plain,PkUrbn1,-2500,-2101,A*,None of the most comprehensive sources on Harappan ritual (Possehl 2002,McIntosh 2007,Miller 1985) advance either archaeological or iconographic evidence for this practice,,,,,,,,,
Kachi Plain,PkUrbn2,-2100,-1801,A*,None of the most comprehensive sources on Harappan ritual (Possehl 2002,McIntosh 2007,Miller 1985) advance either archaeological or iconographic evidence for this practice,,,,,,,,,
Kachi Plain,PkPostU,-1800,-1301,U,Confirmed unknown by Alessandro Ceccarelli,,,,,,,,,,,
Kachi Plain,PkProto,-1300,-551,U,Confirmed unknown by Alessandro Ceccarelli,,,,,,,,,,,
Kachi Plain,IrAchae,-550,-329,A*,Zoroastrianism,,,,,,,,,,,
Kachi Plain,InMaury,-303,-194,A,Buddhism and Jainism prohibit HS,,,,,,,,,,,
Kachi Plain,PkIndGr,-145,-96,A,Hellenistic religion and Buddhism,,,,,,,,,,,
Kachi Plain,IrPart1,-95,21,A*,Zoroastrianism,,,,,,,,,,,
Kachi Plain,AfKushn,30,250,A*,At different times during Kushan history,and in different combinations,Kushan emperors patronised Greek religion,Hinduism (specifically,Siva worship),Zoroastrianism,and Buddhism (Harmatta et al. 1994),,,,,
Kachi Plain,IrSasn1,251,495,A*,Zoroastrianism,,,,,,,,,,,
Kachi Plain,AfHepht,496,531,A;P,Procopius reported that when a Hephthalite patron died,all clients went with him to the grave,but his claims are not universally accepted by modern scholars (Burzine Waghmar,pers. comm. to Jenny Reddish,July 2021). Religions in the region ruled by Hephtalites included Buddhism,Zoroastrianism,Nestorian Christianity,Manichaeism and Hinduism,,,,
Kachi Plain,IrSasn2,532,641,A*,Zoroastrianism,,,,,,,,,,,
Kachi Plain,SyCalUm,670,750,A,Islam,,,,,,,,,,,
Kachi Plain,IqAbbs1,750,861,A,Islam,,,,,,,,,,,
Kachi Plain,PkSind1,862,1192,A,Islam,,,,,,,,,,,
Kachi Plain,AfGhurd,1193,1206,A,Islam,,,,,,,,,,,
Kachi Plain,InDelh*,1207,1339,A,Islam,,,,,,,,,,,
Kachi Plain,PkSind2,1340,1519,A,Islam,,,,,,,,,,,
Kachi Plain,InMugl*,1526,1740,A,Islam,,,,,,,,,,,
Kachi Plain,AfDurrn,1748,1826,A,Islam,,,,,,,,,,,
Middle Ganga,InMahaJ,-600,-325,A*,Some descriptions of HS in Vedic texts,but by 600 BCE (emergence of Upanisadic corpus) emphasis had shifted towards interiorization of ritual through meditation (Vesna Wallace,pers. comm. to Jenny Reddish,June 2021). Ahimsa (non-violence) was stressed,also by new sramanic movements. No good archaeological evidence for HS that we are aware of.,,,,,,,
Deccan,InDecNL,-2700,-1201,U,Unknown,,,,,,,,,,,
Deccan,InDecIA,-1200,-300,U,Unknown,,,,,,,,,,,
Deccan,InDecKg,-205,-101,A,Absent because of Buddhism,,,,,,,,,,,
Deccan,InSataL,-100,203,A,Absent because of Hinduism,,,,,,,,,,,
Deccan,InVakat,286,335,A,Absent because of Hinduism,,,,,,,,,,,
